track,artist,date,est_time,ist_time,iso_time
End of Beginning,Djo,2024-11-25,2024-11-24 23:52:59.065000-05:00,2024-11-25 10:22:59.065000+05:30,2024-11-25T04:52:59.065Z
Reflections,The Neighbourhood,2024-11-25,2024-11-24 23:57:03.543000-05:00,2024-11-25 10:27:03.543000+05:30,2024-11-25T04:57:03.543Z
It's not fair,Kenya Grace,2024-11-25,2024-11-24 23:59:46.338000-05:00,2024-11-25 10:29:46.338000+05:30,2024-11-25T04:59:46.338Z
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,2024-11-25,2024-11-25 00:03:55.263000-05:00,2024-11-25 10:33:55.263000+05:30,2024-11-25T05:03:55.263Z
The Birds Pt. 1,The Weeknd,2024-11-25,2024-11-25 00:13:35.182000-05:00,2024-11-25 10:43:35.182000+05:30,2024-11-25T05:13:35.182Z
How to Save a Life,The Fray,2024-11-25,2024-11-25 00:17:58.226000-05:00,2024-11-25 10:47:58.226000+05:30,2024-11-25T05:17:58.226Z
Blue,BIGBANG,2024-11-27,2024-11-26 20:32:02.134000-05:00,2024-11-27 07:02:02.134000+05:30,2024-11-27T01:32:02.134Z
11:11,TAEYEON,2024-11-27,2024-11-26 20:39:06.884000-05:00,2024-11-27 07:09:06.884000+05:30,2024-11-27T01:39:06.884Z
"Yennai Maatrum Kadhale (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,2024-11-27,2024-11-27 16:06:17.477000-05:00,2024-11-28 02:36:17.477000+05:30,2024-11-27T21:06:17.477Z
LOVE DIVE,IVE,2024-11-28,2024-11-28 00:12:14.658000-05:00,2024-11-28 10:42:14.658000+05:30,2024-11-28T05:12:14.658Z
Boy With Luv (feat. Halsey),BTS,2024-11-28,2024-11-28 00:16:04.928000-05:00,2024-11-28 10:46:04.928000+05:30,2024-11-28T05:16:04.928Z
Likey,TWICE,2024-11-28,2024-11-28 00:23:04.725000-05:00,2024-11-28 10:53:04.725000+05:30,2024-11-28T05:23:04.725Z
Smart,LE SSERAFIM,2024-11-28,2024-11-28 00:25:51.599000-05:00,2024-11-28 10:55:51.599000+05:30,2024-11-28T05:25:51.599Z
HOT,SEVENTEEN,2024-11-28,2024-11-28 00:29:09.681000-05:00,2024-11-28 10:59:09.681000+05:30,2024-11-28T05:29:09.681Z
Cupid,FIFTY FIFTY,2024-11-28,2024-11-28 00:32:04.717000-05:00,2024-11-28 11:02:04.717000+05:30,2024-11-28T05:32:04.717Z
luther (with sza),Kendrick Lamar,2024-11-29,2024-11-29 11:17:10.040000-05:00,2024-11-29 21:47:10.040000+05:30,2024-11-29T16:17:10.040Z
