track,artist,date,est_time,ist_time,iso_time,genre,length_ms
This is Mine,LEE SEUNG YOON,2024-11-20,2024-11-19 23:32:11.641000-05:00,2024-11-20 10:02:11.641000+05:30,2024-11-20T04:32:11.641Z,korean singer-songwriter,200.307
사랑해요,김형섭,2024-11-20,2024-11-19 23:38:50.627000-05:00,2024-11-20 10:08:50.627000+05:30,2024-11-20T04:38:50.627Z,,198.321
I am firefly,Kim Ho Jeong,2024-11-20,2024-11-19 23:42:37.822000-05:00,2024-11-20 10:12:37.822000+05:30,2024-11-20T04:42:37.822Z,korean,220.613
Judas,Lady Gaga,2024-11-20,2024-11-19 23:46:45.983000-05:00,2024-11-20 10:16:45.983000+05:30,2024-11-20T04:46:45.983Z,"art pop, dance pop, pop",249.066
Мало тебя,SEREBRO,2024-11-20,2024-11-19 23:50:31.937000-05:00,2024-11-20 10:20:31.937000+05:30,2024-11-20T04:50:31.937Z,russian pop,225.46
Bonita,Roicc,2024-11-20,2024-11-20 02:59:05.230000-05:00,2024-11-20 13:29:05.230000+05:30,2024-11-20T07:59:05.230Z,,178.16
시간의 상처,Kim So Yeon,2024-11-20,2024-11-20 17:06:52.881000-05:00,2024-11-21 03:36:52.881000+05:30,2024-11-20T22:06:52.881Z,,277.502
To Heaven,Jukjae,2024-11-20,2024-11-20 17:10:10.384000-05:00,2024-11-21 03:40:10.384000+05:30,2024-11-20T22:10:10.384Z,korean pop,197.0
Can't Go,BEN,2024-11-20,2024-11-20 17:13:42.903000-05:00,2024-11-21 03:43:42.903000+05:30,2024-11-20T22:13:42.903Z,pop,158.027
Dream,TAEYEON,2024-11-20,2024-11-20 17:17:42.078000-05:00,2024-11-21 03:47:42.078000+05:30,2024-11-20T22:17:42.078Z,k-pop,238.693
You(=I),BOL4,2024-11-20,2024-11-20 17:20:32.061000-05:00,2024-11-21 03:50:32.061000+05:30,2024-11-20T22:20:32.061Z,k-pop,169.477
Top or Cliff,KIMSEJEONG,2024-11-20,2024-11-20 18:43:31.020000-05:00,2024-11-21 05:13:31.020000+05:30,2024-11-20T23:43:31.020Z,,221.746
Understand,MELOH,2024-11-20,2024-11-20 18:46:11.687000-05:00,2024-11-21 05:16:11.687000+05:30,2024-11-20T23:46:11.687Z,"k-pop, korean r&b",160.104
In a Beautiful Way - Full Ver.,Kim Kyung Hee,2024-11-20,2024-11-20 18:49:29.866000-05:00,2024-11-21 05:19:29.866000+05:30,2024-11-20T23:49:29.866Z,korean ost,197.68
Heart Flutter,dori,2024-11-20,2024-11-20 18:53:11.217000-05:00,2024-11-21 05:23:11.217000+05:30,2024-11-20T23:53:11.217Z,,220.88
Last Chance,So Soo Bin,2024-11-20,2024-11-20 18:57:20.461000-05:00,2024-11-21 05:27:20.461000+05:30,2024-11-20T23:57:20.461Z,korean r&b,248.706
From Bottom of My Heart,Kim Na Young,2024-11-21,2024-11-20 19:01:18.970000-05:00,2024-11-21 05:31:18.970000+05:30,2024-11-21T00:01:18.970Z,korean pop,238.106
Fallin',Isaac Hong,2024-11-21,2024-11-21 13:21:56.271000-05:00,2024-11-21 23:51:56.271000+05:30,2024-11-21T18:21:56.271Z,korean superband,256.573
