track,artist,date,est_time,ist_time,iso_time,genre,length_ms
My Love,LeeHi,2025-01-02,2025-01-02 03:11:45.903000-05:00,2025-01-02 13:41:45.903000+05:30,2025-01-02T08:11:45.903Z,k-pop,220.929
The Line (from the series Arcane League of Legends),"Twenty One Pilots, Arcane, League of Legends",2025-01-05,2025-01-04 22:51:53.361000-05:00,2025-01-05 09:21:53.361000+05:30,2025-01-05T03:51:53.361Z,,192.0
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",2025-01-05,2025-01-04 22:54:21.888000-05:00,2025-01-05 09:24:21.888000+05:30,2025-01-05T03:54:21.888Z,,147.973
Bags,Clairo,2025-01-05,2025-01-04 23:33:59.508000-05:00,2025-01-05 10:03:59.508000+05:30,2025-01-05T04:33:59.508Z,"bedroom pop, indie pop, pov: indie",260.519
ABCD,NAYEON,2025-01-05,2025-01-04 23:34:37.723000-05:00,2025-01-05 10:04:37.723000+05:30,2025-01-05T04:34:37.723Z,k-pop,162.84
Beautiful Now,"Zedd, Jon Bellion",2025-01-05,2025-01-05 01:45:55.476000-05:00,2025-01-05 12:15:55.476000+05:30,2025-01-05T06:45:55.476Z,"complextro, edm, german techno, pop, pop dance",218.293
For Love,10CM,2025-01-05,2025-01-05 02:14:14.979000-05:00,2025-01-05 12:44:14.979000+05:30,2025-01-05T07:14:14.979Z,"indie korea, k-pop",213.019
Doubt,Twenty One Pilots,2025-01-05,2025-01-05 02:17:26.954000-05:00,2025-01-05 12:47:26.954000+05:30,2025-01-05T07:17:26.954Z,"modern rock, pop, pov: indie, rock",191.493
One of the Drunks,Panic! At The Disco,2025-01-05,2025-01-05 02:20:46.407000-05:00,2025-01-05 12:50:46.407000+05:30,2025-01-05T07:20:46.407Z,pop,198.946
Fly,Yi Sung Yol,2025-01-05,2025-01-05 02:25:33.129000-05:00,2025-01-05 12:55:33.129000+05:30,2025-01-05T07:25:33.129Z,k-rock,286.213
"Our Blues, Our Life",Lim Young Woong,2025-01-05,2025-01-05 02:29:01.002000-05:00,2025-01-05 12:59:01.002000+05:30,2025-01-05T07:29:01.002Z,trot,207.386
One More Night,Maroon 5,2025-01-05,2025-01-05 02:32:41.017000-05:00,2025-01-05 13:02:41.017000+05:30,2025-01-05T07:32:41.017Z,pop,219.546
Bags,Clairo,2025-01-05,2025-01-05 02:37:02.088000-05:00,2025-01-05 13:07:02.088000+05:30,2025-01-05T07:37:02.088Z,"bedroom pop, indie pop, pov: indie",260.519
You Make Me Back,WOOSUNG,2025-01-05,2025-01-05 02:40:17.822000-05:00,2025-01-05 13:10:17.822000+05:30,2025-01-05T07:40:17.822Z,"k-pop, korean ost",194.773
Rich White Girls,mansionz,2025-01-05,2025-01-05 02:43:47.826000-05:00,2025-01-05 13:13:47.826000+05:30,2025-01-05T07:43:47.826Z,indie pop rap,209.563
Timeless,BIBI,2025-01-05,2025-01-05 02:47:09.515000-05:00,2025-01-05 13:17:09.515000+05:30,2025-01-05T07:47:09.515Z,"k-pop, korean r&b",201.16
Love Me Again,SF9,2025-01-05,2025-01-05 02:47:20.573000-05:00,2025-01-05 13:17:20.573000+05:30,2025-01-05T07:47:20.573Z,"k-pop, k-pop boy group",196.49
Love Me Again,SF9,2025-01-07,2025-01-06 22:45:03.117000-05:00,2025-01-07 09:15:03.117000+05:30,2025-01-07T03:45:03.117Z,"k-pop, k-pop boy group",196.49
We are,LEE SEUNG YOON,2025-01-07,2025-01-06 22:48:27.162000-05:00,2025-01-07 09:18:27.162000+05:30,2025-01-07T03:48:27.162Z,korean singer-songwriter,203.543
Don't worry,Lee Juck,2025-01-07,2025-01-06 22:52:19.367000-05:00,2025-01-07 09:22:19.367000+05:30,2025-01-07T03:52:19.367Z,korean pop,231.696
Let Me Show You,N.Flying,2025-01-07,2025-01-06 22:55:24.885000-05:00,2025-01-07 09:25:24.885000+05:30,2025-01-07T03:55:24.885Z,"k-pop, k-pop boy group, k-rock",185.0
No Longer Mine,Roy Kim,2025-01-07,2025-01-06 22:59:02.354000-05:00,2025-01-07 09:29:02.354000+05:30,2025-01-07T03:59:02.354Z,korean pop,217.016
We Sink,SWAY,2025-01-07,2025-01-06 23:02:29.847000-05:00,2025-01-07 09:32:29.847000+05:30,2025-01-07T04:02:29.847Z,,206.97
시작,Gaho,2025-01-07,2025-01-06 23:05:52.781000-05:00,2025-01-07 09:35:52.781000+05:30,2025-01-07T04:05:52.781Z,k-pop,202.44
Diamond,9duck,2025-01-07,2025-01-06 23:08:57.604000-05:00,2025-01-07 09:38:57.604000+05:30,2025-01-07T04:08:57.604Z,,184.354
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",2025-01-07,2025-01-06 23:12:52.085000-05:00,2025-01-07 09:42:52.085000+05:30,2025-01-07T04:12:52.085Z,"edm, pop dance, progressive electro house",234.0
Hyehwadong (or Sangmundong),Park Boram,2025-01-07,2025-01-06 23:17:16.625000-05:00,2025-01-07 09:47:16.625000+05:30,2025-01-07T04:17:16.625Z,"k-pop, korean pop",264.0
미래,Red Velvet,2025-01-07,2025-01-06 23:20:53.011000-05:00,2025-01-07 09:50:53.011000+05:30,2025-01-07T04:20:53.011Z,"k-pop, k-pop girl group",215.88
ONCE AGAIN,"WINTER, NINGNING",2025-01-07,2025-01-06 23:23:43.421000-05:00,2025-01-07 09:53:43.421000+05:30,2025-01-07T04:23:43.421Z,k-pop,169.893
It Has To Be You,ABOUT,2025-01-07,2025-01-06 23:27:19.885000-05:00,2025-01-07 09:57:19.885000+05:30,2025-01-07T04:27:19.885Z,,215.983
Foolish Love,John Park,2025-01-07,2025-01-06 23:31:06.066000-05:00,2025-01-07 10:01:06.066000+05:30,2025-01-07T04:31:06.066Z,korean pop,225.666
Rainbow - Band Version,Vincent Blue,2025-01-07,2025-01-06 23:34:30.222000-05:00,2025-01-07 10:04:30.222000+05:30,2025-01-07T04:34:30.222Z,,203.668
Call Me Back,EDEN,2025-01-07,2025-01-06 23:40:51.343000-05:00,2025-01-07 10:10:51.343000+05:30,2025-01-07T04:40:51.343Z,indie poptimism,380.604
Christmas Tree,V,2025-01-07,2025-01-06 23:44:21.793000-05:00,2025-01-07 10:14:21.793000+05:30,2025-01-07T04:44:21.793Z,"j-division, korean ost",209.946
Where Is Dream,10CM,2025-01-07,2025-01-06 23:47:25.603000-05:00,2025-01-07 10:17:25.603000+05:30,2025-01-07T04:47:25.603Z,"indie korea, k-pop",183.32
MAISON,Dreamcatcher,2025-01-07,2025-01-06 23:50:31.847000-05:00,2025-01-07 10:20:31.847000+05:30,2025-01-07T04:50:31.847Z,"k-pop, k-pop girl group",185.733
We All Lie,Ha Jin,2025-01-07,2025-01-06 23:53:48.098000-05:00,2025-01-07 10:23:48.098000+05:30,2025-01-07T04:53:48.098Z,,195.764
Let's forget it,Yeoeun,2025-01-07,2025-01-06 23:57:43.157000-05:00,2025-01-07 10:27:43.157000+05:30,2025-01-07T04:57:43.157Z,k-pop ballad,234.555
Drawer,10CM,2025-01-07,2025-01-07 00:01:40.936000-05:00,2025-01-07 10:31:40.936000+05:30,2025-01-07T05:01:40.936Z,"indie korea, k-pop",237.266
